Sr. No.,Party Type,Abbreviation,Party Symbol,Party Name
1,N,AAAP,Broom,Aam Aadmi Party
2,N,BJP,Lotus,Bharatiya Janata Party
3,N,BSP,Elephant,Bahujan Samaj Party
4,N,CPI(M),"Hammer, Sickle and Star",Communist Party of India (Marxist)
5,N,INC,Hand,Indian National Congress
6,N,NPEP,Book,National People's Party
7,S,ADAL,Cup & saucer,Apna Dal (Soneylal)
8,S,ADMK,Two leaves,All India Anna Dravida Munnetra Kazhagam
9,S,AGP,Elephant,Asom Gana Parishad
10,S,AIFB,Lion,All India Forward Bloc
11,S,AIMIM,Kite,All India Majlis-E-Ittehadul Muslimeen
12,S,AITC,Flowers and Grass,All India Trinamool Congress
13,S,AIUDF,Lock and key,All India United Democratic Front
14,S,AJSUP,Banana,AJSU Party
15,S,BHRS,Car,Bharat Rashtra Samithi
16,S,BJD,Conch,Biju Janata Dal
17,S,BOPF,Nangol,Bodoland Peoples Front
18,S,CPI,Ears of corn and sickle,Communist Party of India
19,S,CPI(ML)(L),Flag with three stars,Communist Party of India (Marxist-Leninist) (Liberation)
20,S,DMDK,Nagara,Desiya Murpokku Dravida Kazhagam
21,S,DMK,Rising sun,Dravida Munnetra Kazhagam
22,S,INLD,Spectacles,Indian National Lok Dal
23,S,IUML,Ladder,Indian Union Muslim League
24,S,JD(S),A lady farmer carrying paddy on her head,Janata Dal (Secular)
25,S,JD(U),Arrow,Janata Dal (United)
26,S,JKN,Plough,Jammu & Kashmir National Conference
27,S,JKNPPB,Table,Jammu & Kashmir National Panthers Party (Bhim)
28,S,JKPDP,Ink pot & pen,Jammu & Kashmir Peoples Democratic Party
29,S,JMM,Bow & arrow,Jharkhand Mukti Morcha
30,S,JNJP,Key,Jannayak Janta Party
31,S,KEC(M),Two leaves,Kerala Congress (M)
32,S,LJPRV,Helicopter,Lok Janshakti Party(Ram Vilas)
33,S,MNF,Star,Mizo National Front
34,S,NCP,Clock,Nationalist Congress Party
35,S,NCPSP,Man blowing turha,Nationalist Congress Party – Sharadchandra Pawar
36,S,NDPP,Globe,Nationalist Democratic Progressive Party
37,S,NPF,Cock,Naga Peoples Front
38,S,RJD,Hurricane lamp,Rashtriya Janata Dal
39,S,RLTP,Bottle,Rashtriya Loktantrik Party
40,S,RSP,"Electric pole,Spade & stoker",Revolutionary Socialist Party
41,S,RVLTGONP,Football,Revolutionary Goans Party
42,S,SAD,Scales,Shiromani Akali Dal
43,S,SDF,Umbrella,Sikkim Democratic Front
44,S,SHS,Bow and arrow,Shiv Sena
45,S,SHSUBT,Flaming torch,Shiv Sena (Uddhav Balasaheb Thackrey)
46,S,SKM,Table lamp,Sikkim Krantikari Morcha
47,S,SP,"Bicycle,Bicycle pump",Samajwadi Party
48,S,TDP,Bicycle,Telugu Desam
49,S,UDP,Drum,United Democratic Party
50,S,UPPL,Tractor chalata kisan,"United People’s Party, Liberal"
51,S,VOTPP,Winnower,Voice of the People Party
52,S,YSRCP,Ceiling fan,Yuvajana Sramika Rythu Congress Party
53,S,ZPM,Hat,Zoram People’s Movement
54,U,AACP,Batsman,Adarshwaadi Congress Party
55,U,AADMPRVTNP,"Auto- rickshaw,Ship",Aam Aadmi Parivartan Party
56,U,AADP,Cauliflower,Azad Party
57,U,AAPP,"Battery Torch,Nagrik",Aapki Apni Party (Peoples)
58,U,AAS,"Almirah,Auto- rickshaw,Ship,Throwing a javelin",Azad Adhikar Sena
59,U,AaSamP,Bucket,Aadim Samaj Party
60,U,AaSaP,Battery Torch,Aman Samaj Party
61,U,AASPP,Pen nib with seven rays,Aap Sabki Apni Party
62,U,ABASP,Road roller,Akhil Bhartiya Aarakshit Samaj Party
63,U,ABCD(A),Pressure cooker,Akhil Bharatiya Congress Dal (Ambedkar)
64,U,ABD,Telephone,Adim Bhartiya Dal
65,U,ABHASP,Auto- rickshaw,Abhay Samaj Party
66,U,ABHKP,Football player,Akhil Bharatiya Hind Kranti Party
67,U,ABHM,"Almirah,Road roller",Akhil Bharat Hindu Mahasabha
68,U,ABHRTJNSVP,Whistle,Abhinav Bharat Janseva Paksh
69,U,ABHSP,Cot,Akhil Bhartiya Hamara Samaj Party
70,U,ABKMP,Whistle,Akhil Bhartiya Kisan Majdoor Party
71,U,ABML(S),Battery Torch,Akhil Bharatiya Muslim League (Secular)
72,U,ABMP,Pen nib with seven rays,Akhil Bharatiya Manavata Paksha
73,U,ABMVMP,Chakki,Akhil Bhartiya Manavadhikar Vichar Manch Party
74,U,ABSHP,Auto- rickshaw,Akhil Bhartiya Sarvjan Hit Party
75,U,ABSPARTY,Pen stand,Akhil Bhartiya Sudhar Party
76,U,ABSTP,Ganna kisan,Akhand Bharat Swatantra Party
77,U,ABTP,Spanner,Aadi Bharat Party
78,U,ABUAJP,Diamond,Abua Jharkhand Party
79,U,ACDP,Jackfruit,Anti Corruption Dynamic Party
80,U,ADJP,Iron,"Adarsh Janta Party,"
81,U,ADPT,Pressure cooker,Apna Desh Party
82,U,ADRSP,Walking stick,Adarsh Samaj Party
83,U,AHFBK,"Air conditioner,Chess board",Akhil Hind Forward Bloc (Krantikari)
84,U,AHIMSASP,Whistle,Ahimsa Socialist Party
85,U,AHNP,"Chapati roller,Sofa",Aihra National Party
86,U,AIAM,Pen nib with seven rays,All India Arya Mahasabha
87,U,AIBPSP,Ring,All India Backward People Sunami Party
88,U,AIJYMKG,Mixee,All India Jananayaka Makkal Kazhagam
89,U,AIMEIEM,"Apple,Ship",All India Majlis-E-Inquilab-E-Millat
90,U,AIMEP,Diamond,All India Mahila Empowerment Party
91,U,AIMK,Boat with man and sail,Anaithu India Makkal Katchi
92,U,AimPP,Battery Torch,Aim Political Party
93,U,aimpr,School bag,All India Mazdoor Party (Rangreta)
94,U,AINDKSJNTP,Air conditioner,All India Kisan Janatha party
95,U,AINRS,Ring,All India National Raksha Sena
96,U,AIPDP,Ship,All India People Development Party
97,U,AISF,Envelope,All India Secular Front
98,U,AIUC,Ganna kisan,All India Ulama Congress
99,U,AIUUK,Gas cylinder,All India Uzhavargal Uzhaippalargal Katchi
100,U,AIYDPMP,"Peas,Water tank",All India Youth Development Party
101,U,AJD,Telephone,Adarsh Jankalyan Dal
102,U,AJM,Coconut farm,Asom Jana Morcha
103,U,AJP,Ganna kisan,Azad Janata Party
104,U,AJPI,"Auto- rickshaw,Diamond,Hand cart,Kettle,Road roller",Aam Janta Party (India)
105,U,AJPK,Auto- rickshaw,Aanaithinthiya Jananayaka Pathukappu Kazhagam
106,U,AJPR,Chappals,Aam Janta Party Rashtriya
107,U,AJPty,Battery Torch,Aam Janshakti Party
108,U,AKBAP,Balloon,Akhil Bhartiya Aamjan Party
109,U,AKBHAD,Scissors,Akhil Bhartiya Apna Dal
110,U,AKBRPRVP,"Kettle,Phone charger,Ship",Akhil Bhartiya Parivar Party
111,U,AKLVJYP,Carpet,Akhila Vijaya Party
112,U,AKNDBHRJNP,Scissors,Akhand Bharat Janpriya Party
113,U,AKNDBRTSMR,Ganna kisan,Akhand Bharat Samrajya Party
114,U,ALHP,Green chilli,Al-Hind Party
115,U,AllJP,Gas cylinder,All India Jaihind Party
116,U,AlPP,"Cot,Table",All Peoples Party
117,U,ALPU,Letter box,Aam Lok Party United
118,U,AMB,Battery Torch,Amra Bangalee
119,U,AMGRDMK,Pan,Anna MGR Dravida Makkal Kalgam
120,U,AMiP,"Gas Stove,Letter box",Aadarsh Mithila Party
121,U,AMJNMTP,Basket containing Fruits,"Aam Janmat Party,"
122,U,AMM,Jackfruit,Anna Makkal Katchi
123,U,AMMKMNKZ,Pressure cooker,Amma Makkal Munnettra Kazagam
124,U,AnAP,Battery Torch,Anjaan Aadmi Party
125,U,ANC,Balloon,Ambedkar National Congress
126,U,ANCHDMCP,Diamond,Arunachal Democratic Party
127,U,ANDC,Coconut farm,Andaman Nicobar Democratic Congress
128,U,ANRP,Stool,Adarsh Nyay Rakshak Party
129,U,ANSP,Battery Torch,Ahinsa Samaj Party
130,U,AODRP,Chapati roller,Alliance of Democratic Reforms Party
131,U,APKAWZP,Mike,Aapki Awaaz Party
132,U,APKGNTRP,Sewing machine,Aapka Gantantra Party
133,U,APKSP,Plate containing food,Apna Kisan Party
134,U,APNDLK,Envelope,Apna Dal (Kamerawadi)
135,U,APNEP,Green chilli,Apni Ekta Party
136,U,APNHQP,Auto- rickshaw,Apna Haq Party
137,U,apnipp,"CCTV Camera,Whistle",Apni Prajahit Party
138,U,APNJBP,CCTV Camera,Aas Punjab Party
139,U,APoI,Coat,Ambedkarite Party of India
140,U,APRS,Gas cylinder,Andhra Pradesh Rashtra Samithi
141,U,APTADMK,"Helmet,Jackfruit",Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam
142,U,ARJP,Bat,Abhinav Rajasthan Party
143,U,ARP,"Bat,Truck",Ambedkarist Republican Party
144,U,ARPS,"Glass tumbler,Mixee",Andhra Rastra Praja Samithi
145,U,ASaP,Ganna kisan,Awami Samta Party
146,U,ASDC,Nagrik,Autonomous State Demand Committee
147,U,ASGP,Bat,Aadarsh Sangram Party
148,U,ASJP,Road roller,Apna Samaj Party
149,U,ASMJTYP,Ship,Assam Jatiya Parishad
150,U,ASPKR,"Air conditioner,Kettle,Pen nib with seven rays",Aazad Samaj Party (Kanshi Ram)
151,U,ASSP,Auto- rickshaw,Asankhya Samaj Party
152,U,ATBP,Batsman,Atulya Bharat Party
153,U,AVIRP,Bat,AARAKSHAN VIRODHI PARTY
154,U,AVRMK,Diamond,Aravor Munnetra Kazhagam
155,U,AWMIPCHDAP,Air conditioner,Aawami Pichhada Party
156,U,AYSRCP,"Carrom board,Diamond,Road roller,Whistle",Anna YSR Congress Party
157,U,AZSP,"Gas cylinder,Kettle",Azad Samaj Party
158,U,BAAP,Fountain,Bharat Jan Aadhar Party
159,U,BAHUMP,"Bat,Computer,Envelope,Ganna kisan,Petrol pump,Scissors,Television,Trumpet,Whistle",Bahujan Maha Party
160,U,BALP,Ganna kisan,Baliraja Party
161,U,BAP(R),Auto- rickshaw,Bhartiya Awam Party (Rastriya)
162,U,BARESP,"Almirah,Auto- rickshaw,Ganna kisan,Nagrik,Ring,Whistle",Bahujan Republican Socialist Party
163,U,BAWPA,Tooth brush,Bahujan Awam Party
164,U,BBC,Auto- rickshaw,Bharatiya Bahujan Congress
165,U,BBKD,Television,BhartiyaBahujanKranti Dal
166,U,BCYP,Ganna kisan,Bharatha Chaitanya Yuvajana Party
167,U,BDJS,Pot,Bharath Dharma Jana Sena
168,U,BDlP,Shoe,Bhartiya Dalit Party
169,U,BDPty,Bucket,Bharatrashtra Democratic Party
170,U,BED,Battery Torch,Bharatiya Ekta Dal
171,U,BGanP,Pot,Bharatiya Gana Parishad
172,U,BGDRPP,"Air conditioner,Almirah,Auto- rickshaw,Cot,Football player,Kettle,Pot,Walking stick",Bhagidari Party(P)
173,U,BGVKP,Road roller,Bhartiya Garib Vikas Kalyan Party
174,U,BHAGP,Walking stick,Bhartiya Gandhiwadi Party
175,U,BHAJASP,Ganna kisan,Bhartiya Janta Secular Party
176,U,BhAmAP,Capsicum,Bharatiya Aam Awam Party
177,U,BHAZS,"Flute,Scissors",Bhartiya Azad Sena
178,U,BhBSP,Gas cylinder,Bharatiya Bahujan Samta Party
179,U,BHJJP,Air conditioner,Bharat Jago Janta Party
180,U,BHJMP,Almirah,Bharatiya Jan Morcha Party
181,U,BHLBP,"Auto- rickshaw,Stethoscope",Bharatiya Liberal Party
182,U,bhmm,Tyres,Bhrashtachar Mukti Morcha
183,U,BHMPP,"Diamond,Road roller",Bharat Mahaparivar Party
184,U,BHMS,"Auto- rickshaw,Bat,Flute,Gas cylinder,Plate containing food",Bhim Sena
185,U,BhNP,Bucket,Bharat Nirman Party
186,U,bhp,Nagrik,Bhartiya Party
187,U,BHRASP,Auto- rickshaw,Bhartiya Asmita Party
188,U,BHRBKP,Auto- rickshaw,Bharatiya Bikash Parishad
189,U,BHRJAP,Ganna kisan,Bhartiya Jan Adhikar Party
190,U,BHRJWNKP,"Diamond,Gas cylinder,Gift pack",Bharatheeya Jawan Kisan Party
191,U,BHRLVP,Almirah,Bharatiya Lokvikas Party
192,U,BHRTADVSIP,Hockey and ball,Bharat Adivasi Party
193,U,BHRTASP,"Auto- rickshaw,Truck",Bharatiya Asha Party
194,U,BHRTJDOP,"Diamond,Electric pole",Bharat Jodo Party
195,U,BHRTJNTM,Gas cylinder,Bhartiya Jantantra Morcha
196,U,BHRTLKCHTP,"Chimney,Coconut farm,Cot",Bhartiya Lok Chetna Party
197,U,BHRTPNCLP,Battery Torch,Bhartiya Panchsheel Party
198,U,BHRTPRJAIK,Ganna kisan,Bharatiya Praja Aikyata Party
199,U,BHRTSP,Boat with man and sail,Bhartiya Sarthak Party
200,U,BHRTSRVDHN,Auto- rickshaw,Bhartiya Sarvdharm Party
201,U,BHRTYLKVNP,Computer,Bhartiya Lokvani Party
